Class,Heat,Final,WarmUp,CoolDown,MaxHeatTime,MaxFinalTime,MandatoryHeatStops,MandatoryFinalStops,MaxSpeed
TestLaps,5,10,10,5,30,60,1,2,0
TestTime,0,0,10,5,30,60,1,2,0
F2C,100,200,90,30,600,900,0,0,0
Classic FAI,100,200,90,30,600,900,2,5,0
Goodyear,100,200,90,30,600,900,2,5,0
Mini Goodyear,100,200,90,30,600,900,2,5,0
27 Goodyear,100,200,90,30,600,900,2,5,27.0
Vintage A,80,160,90,30,0,0,1,2,0
Bendix,80,160,90,30,600,1200,1,3,0
Classic B,70,140,90,30,0,0,0,0,0
Vintage B,70,140,90,30,0,0,1,2,0
Open Rat Race,70,140,90,30,600,900,1,2,0
Rat Race,0,0,90,30,600,1200,1,2,0
Junior Rat Race,0,0,90,30,300,600,1,2,0
Practice 5 Mins,0,0,300,0,0,0,0,0,0
Practice 10 Mins,0,0,600,0,0,0,0,0,0

